
	ArArea	ArBreadth	ArCircularity	ArMajorAxisLength	ArPerimeter	ArRectangularity	ArSampledPoints
							1.90788	1.86902
							1.93845	1.79537
							1.95454	1.71743
							1.94962	1.63825
							1.92457	1.56299
							1.88582	1.49356
							1.83614	1.4313
							1.79404	1.36358
							1.74545	1.30039
							1.70265	1.23363
							1.66757	1.16201
							1.61341	1.10359
							1.54677	1.06177
							1.47516	1.02668
							1.40355	0.99159
							1.32917	0.963258
							1.25351	0.93804
							1.17786	0.912821
							1.09913	0.904213
							1.02164	0.916307
							0.955968	0.959802
							0.896896	1.01143
							0.828325	1.05215
							0.770564	1.10451
							0.735242	1.17498
							0.715883	1.25212
							0.715384	1.33105
							0.725847	1.4101
							0.731074	1.48959
							0.733564	1.5693
							0.720305	1.64557
							0.700625	1.72271
							0.703374	1.8017
							0.718435	1.88001
							0.733495	1.95833
							0.748554	2.03664
							0.755949	2.11597
							0.761797	2.1955
							0.75095	2.27257
							0.75024	2.35218
							0.760819	2.43072
							0.781095	2.50772
							0.819667	2.57752
							0.869458	2.63959
							0.920923	2.70051
							0.975157	2.75894
							1.03565	2.80933
							1.10915	2.83814
